"State","Constituency","Candidates__Name","Candidates__Party","Candidates__EVM Votes","Candidates__Postal Votes","Candidates__Total Votes","Candidates__% of Votes","Total EVM Votes","Total Postal Votes","Total Votes","Winning Candidate","Winning Party"
"Kerala","Thalassery","M. P. ARAVINDAKSHAN","Indian National Congress","43811","1198","45009","33.84","129505","3484","132989","Adv. A. N. SHAMSEER","Communist Party of India  (Marxist)"
"","","Adv. A. N. SHAMSEER","Communist Party of India  (Marxist)","79628","2182","81810","61.52","","","","",""
"","","SHAMSEER IBRAHIM","Welfare Party Of India","1945","18","1963","1.48","","","","",""
"","","ARAVINDHAKSHAN S/o KAUSU","Independent","522","11","533","0.4","","","","",""
"","","C. O. T. NASEER","Independent","1127","36","1163","0.87","","","","",""
"","","HARIDASAN","Independent","189","9","198","0.15","","","","",""
"","","NOTA","None of the Above","2283","30","2313","1.74","","","","",""
"Kerala","Thavanur","FIROS KUNNAMPARAMBIL","Indian National Congress","66750","1044","67794","44.77","148763","2663","151426","DR.K.T.JALEEL","Independent"
"","","HASSAN CHIYANOOR","SOCIAL DEMOCRATIC PARTY OF INDIA","1738","9","1747","1.15","","","","",""
"","","RAMESH KOTTAYAPURATH","Bharath Dharma Jana Sena","9756","158","9914","6.55","","","","",""
"","","DR.K.T.JALEEL","Independent","68935","1423","70358","46.46","","","","",""
"","","JALEEL S/O. MUHAMMAD KUTTY","Independent","306","2","308","0.2","","","","",""
"","","FIROS KUNNATHPARAMBIL","Independent","191","3","194","0.13","","","","",""
"","","FIROS NELLAMKUNNATH","Independent","75","4","79","0.05","","","","",""
"","","FIROS PARUVINGAL","Independent","173","2","175","0.12","","","","",""
"","","MOHAMMED FIROS NURUKKUPRAMBIL","Independent","148","4","152","0.1","","","","",""
"","","VELLARIKKAT MOHAMMED RAFI","Independent","220","7","227","0.15","","","","",""
"","","NOTA","None of the Above","471","7","478","0.32","","","","",""
"Kerala","Thiruvalla","ASHOKAN KULANADA","Bharatiya Janata Party","21954","720","22674","16.25","134466","5078","139544","Adv. MATHEW T THOMAS","Janata Dal  (Secular)"
"","","Adv. MATHEW T THOMAS","Janata Dal  (Secular)","60036","2142","62178","44.56","","","","",""
"","","RAJENDRADAS","Bahujan Samaj Party","1049","25","1074","0.77","","","","",""
"","","KUNJU KOSHY PAUL","Kerala Congress","48665","2092","50757","36.37","","","","",""
"","","VINOD KUMAR","Democratic Social Justice Party","377","3","380","0.27","","","","",""
"","","Adv. THOMAS MATHEW (ROY)","Independent","1423","38","1461","1.05","","","","",""
"","","K .P YESUDAS","Independent","180","16","196","0.14","","","","",""
"","","SURENDRAN KOTTOORATHIL","Independent","212","4","216","0.15","","","","",""
"","","NOTA","None of the Above","570","38","608","0.44","","","","",""
"Kerala","Thiruvambady","C. P. Cheriya Muhammed","Indian Union Muslim League","61469","1755","63224","44.21","139133","3876","143009","Linto Joseph","Communist Party of India  (Marxist)"
"","","Baby Ambattu","Bharatiya Janata Party","7632","162","7794","5.45","","","","",""
"","","Linto Joseph","Communist Party of India  (Marxist)","66017","1850","67867","47.46","","","","",""
"","","K. P. Cheriya Muhammed S/o Kunhoyi","Independent","1100","21","1121","0.78","","","","",""
"","","Prof.George Mathew Thottathimyalil","Independent","74","4","78","0.05","","","","",""
"","","Linto Joseph S/o Sali","Independent","550","29","579","0.4","","","","",""
"","","Lenilal. T. D.","Independent","78","2","80","0.06","","","","",""
"","","Sunny. V. Joseph","Independent","1800","47","1847","1.29","","","","",""
"","","NOTA","None of the Above","413","6","419","0.29","","","","",""
"Kerala","Thiruvananthapuram","KRISHNAKUMAR G","Bharatiya Janata Party","34371","625","34996","27.29","125900","2336","128236","Adv.ANTONY RAJU","Janadhipathiya Kerala Congress"
"","","V .S .Sivakumar","Indian National Congress","40804","855","41659","32.49","","","","",""
"","","Adv.ANTONY RAJU","Janadhipathiya Kerala Congress","47950","798","48748","38.01","","","","",""
"","","A .Saboora","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","356","10","366","0.29","","","","",""
"","","ABHILASH VADAKKAN","Independent","433","3","436","0.34","","","","",""
"","","ANTONY RAJU S/o Raju","Independent","185","5","190","0.15","","","","",""
"","","KRISHNAKUMAR T .S S/o Sankarankutty","Independent","87","2","89","0.07","","","","",""
"","","CHALA MOHANAN D","Independent","238","7","245","0.19","","","","",""
"","","RAJU ANTONY","Independent","281","8","289","0.23","","","","",""
"","","SIVAKUMAR. K S/o Kumara Swamy","Independent","161","3","164","0.13","","","","",""
"","","NOTA","None of the Above","1034","20","1054","0.82","","","","",""
"Kerala","Thodupuzha","Prof. K I ANTONY","Kerala Congress  (M)","45762","1474","47236","34.03","134167","4640","138807","P J JOSEPH","Kerala Congress"
"","","LEETHESH P T","Bahujan Samaj Party","928","6","934","0.67","","","","",""
"","","SHYAMRAJ P","Bharatiya Janata Party","20758","505","21263","15.32","","","","",""
"","","P J JOSEPH","Kerala Congress","64895","2600","67495","48.63","","","","",""
"","","T R SREEDHARAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","263","10","273","0.2","","","","",""
"","","M T THOMAS","Independent","556","6","562","0.4","","","","",""
"","","PARTHASARADHI K","Independent","365","5","370","0.27","","","","",""
"","","NOTA","None of the Above","640","34","674","0.49","","","","",""
"Kerala","Thrikkakara","Adv.P.T.THOMAS","Indian National Congress","58707","1132","59839","43.82","134398","2172","136570","Adv.P.T.THOMAS","Indian National Congress"
"","","P.M.SHIBU","Bahujan Samaj Party","322","9","331","0.24","","","","",""
"","","S SAJI","Bharatiya Janata Party","15218","265","15483","11.34","","","","",""
"","","KRISHNAPRASAD","Democratic Social Justice Party","174","7","181","0.13","","","","",""
"","","Dr.TERRY THOMAS","Twenty 20 Party","13773","124","13897","10.18","","","","",""
"","","JINU","Independent","143","0","143","0.1","","","","",""
"","","Dr.J.JACOB","Independent","44894","616","45510","33.32","","","","",""
"","","BINOJ","Independent","130","4","134","0.1","","","","",""
"","","SUBIN","Independent","55","4","59","0.04","","","","",""
"","","RIYAS YUSUF","Independent","294","4","298","0.22","","","","",""
"","","NOTA","None of the Above","688","7","695","0.51","","","","",""
"Kerala","Thripunithura","K. BABU","Indian National Congress","65355","520","65875","42.14","155038","1269","156307","K. BABU","Indian National Congress"
"","","Dr. K. S. RADHAKRISHNAN","Bharatiya Janata Party","23578","178","23756","15.2","","","","",""
"","","Adv. M. SWARAJ","Communist Party of India  (Marxist)","64325","558","64883","41.51","","","","",""
"","","ARUN BABU. P. C.","Shiv Sena","231","1","232","0.15","","","","",""
"","","C. B. ASHOKAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","172","1","173","0.11","","","","",""
"","","K. P. AYAPPEN","Independent","88","0","88","0.06","","","","",""
"","","RAJESH PAIROAD","Independent","200","1","201","0.13","","","","",""
"","","NOTA","None of the Above","1089","10","1099","0.7","","","","",""
"Kerala","Thrissur","PADMAJA VENUGOPAL","Indian National Congress","41996","1321","43317","33.52","125832","3405","129237","P BALACHANDRAN","Communist Party of India"
"","","P BALACHANDRAN","Communist Party of India","43048","1215","44263","34.25","","","","",""
"","","SURESH GOPI","Bharatiya Janata Party","39616","841","40457","31.3","","","","",""
"","","THRISSUR MUKUNDAN","Indian Gandhiyan Party","217","8","225","0.17","","","","",""
"","","AJITH MENON PONNEMKATTIL","Independent","243","9","252","0.19","","","","",""
"","","NOTA","None of the Above","712","11","723","0.56","","","","",""
"Kerala","Thrithala","V .T BALRAM","Indian National Congress","65629","1169","66798","43.86","149547","2764","152311","M. B RAJESH","Communist Party of India  (Marxist)"
"","","RAJAGOPAL THRITHALA","Bahujan Samaj Party","326","7","333","0.22","","","","",""
"","","M. B RAJESH","Communist Party of India  (Marxist)","68468","1346","69814","45.84","","","","",""
"","","ADV:SANKU T DAS","Bharatiya Janata Party","12645","206","12851","8.44","","","","",""
"","","ABDUL NAZAR M K","SOCIAL DEMOCRATIC PARTY OF INDIA","1572","10","1582","1.04","","","","",""
"","","NOORUDHEEN E V","Independent","69","1","70","0.05","","","","",""
"","","BALARAMAN  K            S/O KUNJUNNI","Independent","49","8","57","0.04","","","","",""
"","","T .T BALARAMAN     S/O KRISHNAN NAIR","Independent","42","3","45","0.03","","","","",""
"","","RAJESH             S/O RAMAN E","Independent","83","8","91","0.06","","","","",""
"","","SREENIVAS KURUPPATH","Independent","136","0","136","0.09","","","","",""
"","","HUSSAIN THATTATHAZHATH","Independent","106","1","107","0.07","","","","",""
"","","NOTA","None of the Above","422","5","427","0.28","","","","",""
"Kerala","Tirur","Dr. ABDUL SALAM M","Bharatiya Janata Party","8933","164","9097","5.33","167979","2763","170742","KURUKKOLI MOIDEEN","Indian Union Muslim League"
"","","Adv. GAFOOR P LILLIS","Communist Party of India  (Marxist)","73947","1153","75100","43.98","","","","",""
"","","KURUKKOLI MOIDEEN","Indian Union Muslim League","80906","1408","82314","48.21","","","","",""
"","","ASHRAF","SOCIAL DEMOCRATIC PARTY OF INDIA","2699","13","2712","1.59","","","","",""
"","","ABOOBACKER SIDHEEK","Independent","233","7","240","0.14","","","","",""
"","","ABDUL GAFOOR PULIKKAL","Independent","68","0","68","0.04","","","","",""
"","","ABDUL GAFOOR VALIYA PEEDIKAKKAL","Independent","33","4","37","0.02","","","","",""
"","","ABDUL MAHROOF A.K","Independent","105","6","111","0.07","","","","",""
"","","MOIDEEN MEENTHRATHAKATH","Independent","472","5","477","0.28","","","","",""
"","","MOIDEEN VALIYAKATH","Independent","167","2","169","0.1","","","","",""
"","","NOTA","None of the Above","416","1","417","0.24","","","","",""
"Kerala","Tirurangadi","K P A MAJEED","Indian Union Muslim League","72579","920","73499","49.74","145878","1893","147771","K P A MAJEED","Indian Union Muslim League"
"","","ABDUL MAJEED PANAKKAL","Bahujan Samaj Party","300","3","303","0.21","","","","",""
"","","KALLIYATH SATHAR HAJI","Bharatiya Janata Party","8128","186","8314","5.63","","","","",""
"","","MOOSA JARATHINGAL","Swaraj India","269","5","274","0.19","","","","",""
"","","ABDURAHIM NAHA","Independent","119","1","120","0.08","","","","",""
"","","CHANDRAN","Independent","129","3","132","0.09","","","","",""
"","","NIYAS","Independent","480","7","487","0.33","","","","",""
"","","NIYAS PULIKKALAKATH","Independent","63159","762","63921","43.26","","","","",""
"","","NOTA","None of the Above","715","6","721","0.49","","","","",""
"Kerala","Trikaripur","M RAJAGOPALAN","Communist Party of India  (Marxist)","82556","3595","86151","53.71","154533","5875","160408","M RAJAGOPALAN","Communist Party of India  (Marxist)"
"","","SHIBIN T V","Bharatiya Janata Party","10621","340","10961","6.83","","","","",""
"","","M P JOSEPH","Kerala Congress","58200","1814","60014","37.41","","","","",""
"","","T MAHESH MASTER","Welfare Party Of India","799","18","817","0.51","","","","",""
"","","LIYAKATHALI P","SOCIAL DEMOCRATIC PARTY OF INDIA","1188","23","1211","0.75","","","","",""
"","","SUDHAN VELLARIKKUND","Anna Democratic Human Rights Movement Party of India","104","12","116","0.07","","","","",""
"","","JOY JOHN","Independent","352","10","362","0.23","","","","",""
"","","M V JOSEPH","Independent","192","26","218","0.14","","","","",""
"","","NOTA","None of the Above","521","37","558","0.35","","","","",""
"Kerala","Udma","C H KUNHAMBU","Communist Party of India  (Marxist)","76733","1931","78664","47.58","161785","3556","165341","C H KUNHAMBU","Communist Party of India  (Marxist)"
"","","BALAKRISHNAN PERIYE","Indian National Congress","64117","1225","65342","39.52","","","","",""
"","","A VELAYUDHAN","Bharatiya Janata Party","19978","382","20360","12.31","","","","",""
"","","GOVINDAN B ALINTHAZE","Ambedkarite Party of India","189","5","194","0.12","","","","",""
"","","KUNHAMBU K  S/o Kuttappan K C","Independent","134","6","140","0.08","","","","",""
"","","RAMESHAN K","Independent","204","3","207","0.13","","","","",""
"","","NOTA","None of the Above","430","4","434","0.26","","","","",""
"Kerala","Udumbanchola","ADV. E.M. AUGUSTHY","Indian National Congress","38207","869","39076","31.21","122803","2416","125219","M. M. MANI","Communist Party of India  (Marxist)"
"","","A C BIJU","Bahujan Samaj Party","858","9","867","0.69","","","","",""
"","","M. M. MANI","Communist Party of India  (Marxist)","75938","1443","77381","61.8","","","","",""
"","","SANTHOSH MADHAVAN","Bharath Dharma Jana Sena","7121","87","7208","5.76","","","","",""
"","","NOTA","None of the Above","679","8","687","0.55","","","","",""
"Kerala","Vadakara","ADVOCATE M. RAJESH KUMAR","Bharatiya Janata Party","10033","192","10225","7.48","132822","3851","136673","K.K.REMA","Revolutionary Marxist Party of India"
"","","MANAYATH CHANDRAN","Loktantrik Janta Dal","55672","1930","57602","42.15","","","","",""
"","","MUSTHAFA PALERI","SOCIAL DEMOCRATIC PARTY OF INDIA","2820","16","2836","2.08","","","","",""
"","","K.K.REMA","Revolutionary Marxist Party of India","63418","1675","65093","47.63","","","","",""
"","","GANGADHARAN MADAPPALLY","Independent","182","4","186","0.14","","","","",""
"","","VELLUPARAMBATH CHANDRAN","Independent","60","3","63","0.05","","","","",""
"","","RAMA KUNIYIL","Independent","112","14","126","0.09","","","","",""
"","","RAMA CHERIYA KAYYIL","Independent","50","2","52","0.04","","","","",""
"","","K.T.K RAMA PADANNAYIL","Independent","128","9","137","0.1","","","","",""
"","","NOTA","None of the Above","347","6","353","0.26","","","","",""
"Kerala","Vaikom","Akhiljith Kallara","Bahujan Samaj Party","704","22","726","0.57","124201","3375","127576","C.K Asha","Communist Party of India"
"","","C.K Asha","Communist Party of India","69483","1905","71388","55.96","","","","",""
"","","Dr.P.R Sona","Indian National Congress","41108","1158","42266","33.13","","","","",""
"","","Ajitha Sabu","Bharath Dharma Jana Sena","11708","245","11953","9.37","","","","",""
"","","Bindu","Bahujan Dravida Party","251","7","258","0.2","","","","",""
"","","T.K Sabu","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","140","12","152","0.12","","","","",""
"","","Kuttan Kattachira","Independent","150","13","163","0.13","","","","",""
"","","NOTA","None of the Above","657","13","670","0.53","","","","",""
"Kerala","Vallikkunnu","ABDUL HAMEED MASTER","Indian Union Muslim League","70342","1481","71823","47.43","148033","3381","151414","ABDUL HAMEED MASTER","Indian Union Muslim League"
"","","PEETHAMBARAN PALAT","Bharatiya Janata Party","19304","549","19853","13.11","","","","",""
"","","SASI KIZHAKKAN","Bahujan Samaj Party","845","36","881","0.58","","","","",""
"","","Prof. A.P. ABDUL VAHAB","Indian National League","56401","1306","57707","38.11","","","","",""
"","","NOTA","None of the Above","1141","9","1150","0.76","","","","",""
"Kerala","Vamanapuram","Anad Jayan","Indian National Congress","61071","1824","62895","42.92","141815","4710","146525","Adv. D. K. Murali","Communist Party of India  (Marxist)"
"","","Adv. D. K. Murali","Communist Party of India  (Marxist)","70468","2669","73137","49.91","","","","",""
"","","Santhosh T.","Bahujan Samaj Party","542","10","552","0.38","","","","",""
"","","Ajmal Ismail","SOCIAL DEMOCRATIC PARTY OF INDIA","2314","11","2325","1.59","","","","",""
"","","Ashokan T.  Vamanapuram","Ambedkarite Party of India","294","7","301","0.21","","","","",""
"","","Thazhava Sahadevan","Bharath Dharma Jana Sena","5511","92","5603","3.82","","","","",""
"","","Attukal Aji","Independent","397","23","420","0.29","","","","",""
"","","Navas C. M.","Independent","101","33","134","0.09","","","","",""
"","","Bharathanoor Maniraj","Independent","129","3","132","0.09","","","","",""
"","","R. Murali","Independent","293","17","310","0.21","","","","",""
"","","NOTA","None of the Above","695","21","716","0.49","","","","",""
"Kerala","Varkala","Anu M.C","Bahujan Samaj Party","1920","28","1948","1.44","131784","3445","135229","Adv. V Joy","Communist Party of India  (Marxist)"
"","","Adv. V Joy","Communist Party of India  (Marxist)","66874","1942","68816","50.89","","","","",""
"","","Adv. BRM Shafeer","Indian National Congress","49849","1146","50995","37.71","","","","",""
"","","Aji S","Bharath Dharma Jana Sena","10957","257","11214","8.29","","","","",""
"","","Anilkumar P","Democratic Human Rights Movement Party","455","5","460","0.34","","","","",""
"","","Prince","Independent","615","43","658","0.49","","","","",""
"","","Shefeer","Independent","313","10","323","0.24","","","","",""
"","","NOTA","None of the Above","801","14","815","0.6","","","","",""
"Kerala","Vattiyoorkavu","Adv.V.K.PRASANTH","Communist Party of India  (Marxist)","59193","1918","61111","44.4","133500","4136","137636","Adv.V.K.PRASANTH","Communist Party of India  (Marxist)"
"","","N.MURALI","Bahujan Samaj Party","413","6","419","0.3","","","","",""
"","","Adv.V.V.RAJESH","Bharatiya Janata Party","38558","1038","39596","28.77","","","","",""
"","","Adv.VEENA.S.NAIR","Indian National Congress","34292","1163","35455","25.76","","","","",""
"","","A.SHYJU","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","200","1","201","0.15","","","","",""
"","","NOTA","None of the Above","844","10","854","0.62","","","","",""
"Kerala","Vengara","KEERAN","Bahujan Samaj Party","1057","3","1060","0.81","129511","2040","131551","P.K KUNJHALIKUTTY","Indian Union Muslim League"
"","","P.K KUNJHALIKUTTY","Indian Union Muslim League","69283","1098","70381","53.5","","","","",""
"","","P. JIJI","Communist Party of India  (Marxist)","39150","635","39785","30.24","","","","",""
"","","PREMAN MASTER","Bharatiya Janata Party","5853","115","5968","4.54","","","","",""
"","","ANANNYAHKUMARI ALEX","Democratic Social Justice Party","132","3","135","0.1","","","","",""
"","","E.K. KUNHAHAMEDKUTTY MASTER","Welfare Party Of India","1984","67","2051","1.56","","","","",""
"","","ADIL ABDURAHIMAN THANGAL","Independent","124","5","129","0.1","","","","",""
"","","SABAH KUNDUPUZHAKKAL","Independent","11149","106","11255","8.56","","","","",""
"","","NOTA","None of the Above","779","8","787","0.6","","","","",""
"Kerala","Vypen","K.N. Unnikrishnan","Communist Party of India  (Marxist)","52712","1146","53858","41.24","128169","2427","130596","K.N. Unnikrishnan","Communist Party of India  (Marxist)"
"","","Deepak Joy","Indian National Congress","44710","947","45657","34.96","","","","",""
"","","Adv.K.S. Shaiju","Bharatiya Janata Party","13385","155","13540","10.37","","","","",""
"","","Dr.Job Chakalakal","Twenty 20 Party","16540","167","16707","12.79","","","","",""
"","","Dr.M.K. Mukundan","Independent","304","5","309","0.24","","","","",""
"","","NOTA","None of the Above","518","7","525","0.4","","","","",""
"Kerala","Wadakkanchery","Anil Akkara","Indian National Congress","64089","1769","65858","38.77","165920","3941","169861","Xavier Chittilappilly","Communist Party of India  (Marxist)"
"","","T.S Ullas Babu","Bharatiya Janata Party","21408","339","21747","12.8","","","","",""
"","","Xavier Chittilappilly","Communist Party of India  (Marxist)","79216","1810","81026","47.7","","","","",""
"","","Haji Aboobaker Kundukadan","Independent","378","10","388","0.23","","","","",""
"","","NOTA","None of the Above","829","13","842","0.5","","","","",""
"Kerala","Wandoor","A P ANILKUMAR","Indian National Congress","85776","1639","87415","51.44","166756","3175","169931","A P ANILKUMAR","Indian National Congress"
"","","MIDHUNA P","Communist Party of India  (Marxist)","70548","1304","71852","42.28","","","","",""
"","","Dr. P C VIJAYAN","Bharatiya Janata Party","6929","128","7057","4.15","","","","",""
"","","KRISHNAN C","Welfare Party Of India","2843","100","2943","1.73","","","","",""
"","","NOTA","None of the Above","660","4","664","0.39","","","","",""
